,ESM-IF1,Pythia,FoldX,KD,ddmbc_aa_ridge,DDGun3D,StabilityOracle,Rose1985
ESM-IF1,1.0,0.9523547617199021,0.5548823675331501,0.5469177125667357,0.9410475865676347,-0.5198706032403094,0.6753671683255255,0.8649053073151619
Pythia,0.9523547617199021,1.0,0.4490806663276969,0.42375722017961215,0.8794890285962249,-0.583699305819132,0.5740012859944358,0.9309421611788697
FoldX,0.5548823675331501,0.4490806663276969,1.0,0.4107837540851518,0.6214260596175224,0.2737302642838854,0.38331931816832293,0.3791840932880778
KD,0.5469177125667357,0.42375722017961215,0.4107837540851518,1.0,0.4305209885891868,-0.1619644818133973,0.7625692995406231,0.2706897322097405
ddmbc_aa_ridge,0.9410475865676347,0.8794890285962249,0.6214260596175224,0.4305209885891868,1.0,-0.4729625914428326,0.6081405001458755,0.8521512805690804
DDGun3D,-0.5198706032403094,-0.583699305819132,0.2737302642838854,-0.1619644818133973,-0.4729625914428326,1.0,-0.4047305131290851,-0.664053443235853
StabilityOracle,0.6753671683255255,0.5740012859944358,0.38331931816832293,0.7625692995406231,0.6081405001458755,-0.4047305131290851,1.0,0.5372485098372102
Rose1985,0.8649053073151619,0.9309421611788697,0.3791840932880778,0.2706897322097405,0.8521512805690804,-0.664053443235853,0.5372485098372102,1.0
